Index	Time (s)	Raw_ADC_Code
448	-3.056960000e+00	-32768
449	-3.056640000e+00	-32768
450	-3.056320000e+00	-32768
451	-3.056000000e+00	-32768
452	-3.055680000e+00	-32768
453	-3.055360000e+00	-32768
454	-3.055040000e+00	-32768
455	-3.054720000e+00	-32768
456	-3.054400000e+00	-32768
457	-3.054080000e+00	-32768
458	-3.053760000e+00	-32768
459	-3.053440000e+00	-32768
460	-3.053120000e+00	-32768
461	-3.052800000e+00	-32768
462	-3.052480000e+00	-32768
463	-3.052160000e+00	-32768
464	-3.051840000e+00	-32768
465	-3.051520000e+00	-32768
466	-3.051200000e+00	-32768
467	-3.050880000e+00	-32768
468	-3.050560000e+00	-32768
469	-3.050240000e+00	-32768
470	-3.049920000e+00	-32768
471	-3.049600000e+00	-32768
472	-3.049280000e+00	-32768
473	-3.048960000e+00	-32768
474	-3.048640000e+00	-32768
475	-3.048320000e+00	-32768
476	-3.048000000e+00	-32768
477	-3.047680000e+00	-32768
478	-3.047360000e+00	-32768
479	-3.047040000e+00	-32768
480	-3.046720000e+00	-32768
481	-3.046400000e+00	-32768
482	-3.046080000e+00	-32768
483	-3.045760000e+00	-32768
484	-3.045440000e+00	-32768
485	-3.045120000e+00	-32768
486	-3.044800000e+00	-32768
487	-3.044480000e+00	-32768
488	-3.044160000e+00	-32768
489	-3.043840000e+00	-32768
490	-3.043520000e+00	-32768
491	-3.043200000e+00	-32768
492	-3.042880000e+00	-32768
493	-3.042560000e+00	-32768
494	-3.042240000e+00	-32768
495	-3.041920000e+00	-32768
496	-3.041600000e+00	-32768
497	-3.041280000e+00	-32768
498	-3.040960000e+00	-32768
499	-3.040640000e+00	-32768
500	-3.040320000e+00	-32768
501	-3.040000000e+00	-32768
502	-3.039680000e+00	-32768
503	-3.039360000e+00	-32768
504	-3.039040000e+00	-32768
505	-3.038720000e+00	-32768
506	-3.038400000e+00	-32768
507	-3.038080000e+00	-32768
508	-3.037760000e+00	-32768
509	-3.037440000e+00	-32768
510	-3.037120000e+00	-32768
511	-3.036800000e+00	-32768
512	-3.036480000e+00	-32768
513	-3.036160000e+00	-32768
514	-3.035840000e+00	-32768
515	-3.035520000e+00	-32768
516	-3.035200000e+00	-32768
517	-3.034880000e+00	-32768
518	-3.034560000e+00	-32768
519	-3.034240000e+00	-32768
520	-3.033920000e+00	-32768
521	-3.033600000e+00	-32768
522	-3.033280000e+00	-32768
523	-3.032960000e+00	-32768
524	-3.032640000e+00	-32768
525	-3.032320000e+00	-32768
526	-3.032000000e+00	-32768
527	-3.031680000e+00	-32768
528	-3.031360000e+00	-32768
529	-3.031040000e+00	-32768
530	-3.030720000e+00	-32768
531	-3.030400000e+00	-32768
532	-3.030080000e+00	-32768
533	-3.029760000e+00	-32768
534	-3.029440000e+00	-32768
535	-3.029120000e+00	-32768
536	-3.028800000e+00	-32768
537	-3.028480000e+00	-32768
538	-3.028160000e+00	-32768
539	-3.027840000e+00	-32768
540	-3.027520000e+00	-32768
541	-3.027200000e+00	-32768
542	-3.026880000e+00	-32768
543	-3.026560000e+00	-32768
544	-3.026240000e+00	-32768
545	-3.025920000e+00	-32768
546	-3.025600000e+00	-32768
547	-3.025280000e+00	-32768
548	-3.024960000e+00	-32768
549	-3.024640000e+00	-32768
550	-3.024320000e+00	-32768
551	-3.024000000e+00	-32768
552	-3.023680000e+00	-32768
553	-3.023360000e+00	-32768
554	-3.023040000e+00	-32768
555	-3.022720000e+00	-32768
556	-3.022400000e+00	-32768
557	-3.022080000e+00	-32768
558	-3.021760000e+00	-32768
559	-3.021440000e+00	-32768
560	-3.021120000e+00	-32768
561	-3.020800000e+00	-32768
562	-3.020480000e+00	-32768
563	-3.020160000e+00	-32768
564	-3.019840000e+00	-32768
565	-3.019520000e+00	-32768
566	-3.019200000e+00	-32768
567	-3.018880000e+00	-32768
568	-3.018560000e+00	-32768
