Index	Time (s)	Voltage (V)
284	-3.109440000e+00	-2.621440000e+02
285	-3.109120000e+00	-2.621440000e+02
286	-3.108800000e+00	-2.621440000e+02
287	-3.108480000e+00	-2.621440000e+02
288	-3.108160000e+00	-2.621440000e+02
289	-3.107840000e+00	-2.621440000e+02
290	-3.107520000e+00	-2.621440000e+02
291	-3.107200000e+00	-2.621440000e+02
292	-3.106880000e+00	-2.621440000e+02
293	-3.106560000e+00	-2.621440000e+02
294	-3.106240000e+00	-2.621440000e+02
295	-3.105920000e+00	-2.621440000e+02
296	-3.105600000e+00	-2.621440000e+02
297	-3.105280000e+00	-2.621440000e+02
298	-3.104960000e+00	-2.621440000e+02
299	-3.104640000e+00	-2.621440000e+02
300	-3.104320000e+00	-2.621440000e+02
301	-3.104000000e+00	-2.621440000e+02
302	-3.103680000e+00	-2.621440000e+02
303	-3.103360000e+00	-2.621440000e+02
304	-3.103040000e+00	-2.621440000e+02
305	-3.102720000e+00	-2.621440000e+02
306	-3.102400000e+00	-2.621440000e+02
307	-3.102080000e+00	-2.621440000e+02
308	-3.101760000e+00	-2.621440000e+02
309	-3.101440000e+00	-2.621440000e+02
310	-3.101120000e+00	-2.621440000e+02
311	-3.100800000e+00	-2.621440000e+02
312	-3.100480000e+00	-2.621440000e+02
313	-3.100160000e+00	-2.621440000e+02
314	-3.099840000e+00	-2.621440000e+02
315	-3.099520000e+00	-2.621440000e+02
316	-3.099200000e+00	-2.621440000e+02
317	-3.098880000e+00	-2.621440000e+02
318	-3.098560000e+00	-2.621440000e+02
319	-3.098240000e+00	-2.621440000e+02
320	-3.097920000e+00	-2.621440000e+02
321	-3.097600000e+00	-2.621440000e+02
322	-3.097280000e+00	-2.621440000e+02
323	-3.096960000e+00	-2.621440000e+02
324	-3.096640000e+00	-2.621440000e+02
325	-3.096320000e+00	-2.621440000e+02
326	-3.096000000e+00	-2.621440000e+02
327	-3.095680000e+00	-2.621440000e+02
328	-3.095360000e+00	-2.621440000e+02
329	-3.095040000e+00	-2.621440000e+02
330	-3.094720000e+00	-2.621440000e+02
331	-3.094400000e+00	-2.621440000e+02
332	-3.094080000e+00	-2.621440000e+02
333	-3.093760000e+00	-2.621440000e+02
334	-3.093440000e+00	-2.621440000e+02
335	-3.093120000e+00	-2.621440000e+02
336	-3.092800000e+00	-2.621440000e+02
337	-3.092480000e+00	-2.621440000e+02
338	-3.092160000e+00	-2.621440000e+02
339	-3.091840000e+00	-2.621440000e+02
340	-3.091520000e+00	-2.621440000e+02
341	-3.091200000e+00	-2.621440000e+02
342	-3.090880000e+00	-2.621440000e+02
343	-3.090560000e+00	-2.621440000e+02
344	-3.090240000e+00	-2.621440000e+02
345	-3.089920000e+00	-2.621440000e+02
346	-3.089600000e+00	-2.621440000e+02
347	-3.089280000e+00	-2.621440000e+02
348	-3.088960000e+00	-2.621440000e+02
349	-3.088640000e+00	-2.621440000e+02
350	-3.088320000e+00	-2.621440000e+02
351	-3.088000000e+00	-2.621440000e+02
352	-3.087680000e+00	-2.621440000e+02
353	-3.087360000e+00	-2.621440000e+02
354	-3.087040000e+00	-2.621440000e+02
355	-3.086720000e+00	-2.621440000e+02
356	-3.086400000e+00	-2.621440000e+02
357	-3.086080000e+00	-2.621440000e+02
358	-3.085760000e+00	-2.621440000e+02
359	-3.085440000e+00	-2.621440000e+02
360	-3.085120000e+00	-2.621440000e+02
361	-3.084800000e+00	-2.621440000e+02
362	-3.084480000e+00	-2.621440000e+02
363	-3.084160000e+00	-2.621440000e+02
364	-3.083840000e+00	-2.621440000e+02
365	-3.083520000e+00	-2.621440000e+02
366	-3.083200000e+00	-2.621440000e+02
367	-3.082880000e+00	-2.621440000e+02
368	-3.082560000e+00	-2.621440000e+02
369	-3.082240000e+00	-2.621440000e+02
370	-3.081920000e+00	-2.621440000e+02
371	-3.081600000e+00	-2.621440000e+02
372	-3.081280000e+00	-2.621440000e+02
373	-3.080960000e+00	-2.621440000e+02
374	-3.080640000e+00	-2.621440000e+02
375	-3.080320000e+00	-2.621440000e+02
376	-3.080000000e+00	-2.621440000e+02
377	-3.079680000e+00	-2.621440000e+02
378	-3.079360000e+00	-2.621440000e+02
379	-3.079040000e+00	-2.621440000e+02
380	-3.078720000e+00	-2.621440000e+02
381	-3.078400000e+00	-2.621440000e+02
382	-3.078080000e+00	-2.621440000e+02
383	-3.077760000e+00	-2.621440000e+02
384	-3.077440000e+00	-2.621440000e+02
385	-3.077120000e+00	-2.621440000e+02
386	-3.076800000e+00	-2.621440000e+02
387	-3.076480000e+00	-2.621440000e+02
388	-3.076160000e+00	-2.621440000e+02
389	-3.075840000e+00	-2.621440000e+02
390	-3.075520000e+00	-2.621440000e+02
391	-3.075200000e+00	-2.621440000e+02
392	-3.074880000e+00	-2.621440000e+02
393	-3.074560000e+00	-2.621440000e+02
394	-3.074240000e+00	-2.621440000e+02
395	-3.073920000e+00	-2.621440000e+02
396	-3.073600000e+00	-2.621440000e+02
397	-3.073280000e+00	-2.621440000e+02
398	-3.072960000e+00	-2.621440000e+02
399	-3.072640000e+00	-2.621440000e+02
400	-3.072320000e+00	-2.621440000e+02
401	-3.072000000e+00	-2.621440000e+02
402	-3.071680000e+00	-2.621440000e+02
403	-3.071360000e+00	-2.621440000e+02
404	-3.071040000e+00	-2.621440000e+02
405	-3.070720000e+00	-2.621440000e+02
406	-3.070400000e+00	-2.621440000e+02
407	-3.070080000e+00	-2.621440000e+02
408	-3.069760000e+00	-2.621440000e+02
409	-3.069440000e+00	-2.621440000e+02
410	-3.069120000e+00	-2.621440000e+02
411	-3.068800000e+00	-2.621440000e+02
412	-3.068480000e+00	-2.621440000e+02
413	-3.068160000e+00	-2.621440000e+02
414	-3.067840000e+00	-2.621440000e+02
415	-3.067520000e+00	-2.621440000e+02
416	-3.067200000e+00	-2.621440000e+02
417	-3.066880000e+00	-2.621440000e+02
418	-3.066560000e+00	-2.621440000e+02
419	-3.066240000e+00	-2.621440000e+02
420	-3.065920000e+00	-2.621440000e+02
421	-3.065600000e+00	-2.621440000e+02
422	-3.065280000e+00	-2.621440000e+02
423	-3.064960000e+00	-2.621440000e+02
424	-3.064640000e+00	-2.621440000e+02
425	-3.064320000e+00	-2.621440000e+02
426	-3.064000000e+00	-2.621440000e+02
427	-3.063680000e+00	-2.621440000e+02
428	-3.063360000e+00	-2.621440000e+02
429	-3.063040000e+00	-2.621440000e+02
430	-3.062720000e+00	-2.621440000e+02
431	-3.062400000e+00	-2.621440000e+02
432	-3.062080000e+00	-2.621440000e+02
433	-3.061760000e+00	-2.621440000e+02
434	-3.061440000e+00	-2.621440000e+02
435	-3.061120000e+00	-2.621440000e+02
436	-3.060800000e+00	-2.621440000e+02
437	-3.060480000e+00	-2.621440000e+02
438	-3.060160000e+00	-2.621440000e+02
439	-3.059840000e+00	-2.621440000e+02
440	-3.059520000e+00	-2.621440000e+02
441	-3.059200000e+00	-2.621440000e+02
442	-3.058880000e+00	-2.621440000e+02
443	-3.058560000e+00	-2.621440000e+02
444	-3.058240000e+00	-2.621440000e+02
445	-3.057920000e+00	-2.621440000e+02
446	-3.057600000e+00	-2.621440000e+02
447	-3.057280000e+00	-2.621440000e+02
448	-3.056960000e+00	-2.621440000e+02
449	-3.056640000e+00	-2.621440000e+02
450	-3.056320000e+00	-2.621440000e+02
