feature_id,area_px,area_nm2,equiv_diameter_nm,centroid_x_nm,centroid_y_nm,peak_z_nm,depth_nm
53,20,7659.28,98.75,4960.86,2358.12,-9.6374,9.6227
54,15,5744.46,85.52,9129.81,2345.73,-8.14,8.1254
57,47,17999.32,151.39,7530.5,2508.22,-12.4336,12.419
58,35,13403.75,130.64,6280.68,2507.13,-10.9977,10.983
59,6,2297.79,54.09,4210.7,2599.48,-6.2109,6.1963
60,13,4978.53,79.62,6993.83,2616.29,-6.3587,6.344
61,17,6510.39,91.05,8366.52,2615.4,-9.2868,9.2721
62,29,11105.96,118.91,1350.97,2681.69,-9.7497,9.7351
63,9,3446.68,66.25,3737.77,2661.45,-7.2698,7.2552
64,11,4212.61,73.24,6123.47,2707.7,-7.4812,7.4666
65,11,4212.61,73.24,5337.13,2794.88,-6.7086,6.694
67,47,17999.32,151.39,2932.09,2860.06,-10.0944,10.0798
69,10,3829.64,69.83,8616.44,2929.55,-7.1196,7.105
70,15,5744.46,85.52,1710.37,2953.69,-8.2459,8.2313
71,17,6510.39,91.05,382.18,2972.26,-8.7971,8.7824
74,8,3063.71,62.46,1974.07,3030.82,-6.4514,6.4367
75,7,2680.75,58.42,4053.68,3078.0,-6.4879,6.4733
76,19,7276.32,96.25,7144.92,3158.92,-9.0759,9.0613
77,11,4212.61,73.24,1325.39,3184.49,-5.5391,5.5245
78,15,5744.46,85.52,4744.94,3192.43,-7.433,7.4184
81,9,3446.68,66.25,2815.83,3379.0,-6.635,6.6204
82,6,2297.79,54.09,3662.75,3369.21,-6.1637,6.1491
83,71,27190.46,186.06,624.57,3467.93,-14.6746,14.66
84,46,17616.35,149.77,8353.61,3522.93,-12.129,12.1144
