sample,section,sweep_index,sweep_prefix,file_name,Voltage_V,Current_A,Time_s
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,1.8,0.0001913,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,2.0,0.0002098,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,2.2,0.0002299,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,2.4,0.0002482,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,2.6,0.0002694,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,2.8,0.0002868,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,3.0,0.0003046,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,3.2,0.0003235,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,3.4,0.0003437,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,3.6,0.0003625,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,3.8,0.0003802,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,4.0,0.0004009,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,4.2,0.0004212,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,4.4,0.0004396,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,4.6,0.0004615,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,4.8,0.0004819,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,5.0,0.000503,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,4.8,0.000479,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,4.6,0.0004565,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,4.4,0.0004342,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,4.2,0.0004107,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,4.0,0.0003871,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,3.8,0.0003663,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,3.6,0.0003455,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,3.4,0.0003266,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,3.2,0.0003023,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,3.0,0.0002835,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,2.8,0.0002639,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,2.6,0.000243,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,2.4,0.0002244,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,2.2,0.0002056,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,2.0,0.0001885,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,1.8,0.0001686,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,1.6,0.000151,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,1.4,0.0001353,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,1.2,0.000118,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,1.0,0.0001004,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,0.8,8.139e-05,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,0.6,6.262e-05,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,0.4,4.221e-05,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,0.2,2.152e-05,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-0.0,1.895e-08,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-0.2,-2.232e-05,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-0.4,-4.491e-05,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-0.6,-6.773e-05,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-0.8,-9.11e-05,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-1.0,-0.0001143,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-1.2,-0.0001372,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-1.4,-0.0001606,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-1.6,-0.0001843,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-1.8,-0.0002086,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-2.0,-0.0002315,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-2.2,-0.0002554,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-2.4,-0.0002799,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-2.6,-0.0003035,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-2.8,-0.0003288,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-3.0,-0.0003535,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-3.2,-0.0003774,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-3.4,-0.0004011,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-3.6,-0.0004261,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-3.8,-0.0004504,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-4.0,-0.0004743,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-4.2,-0.0005002,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-4.4,-0.0005244,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-4.6,-0.0005486,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-4.8,-0.000574,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-5.0,-0.0005994,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-4.8,-0.0005726,1758000000.0
7_ITO,F,3,3-FS-5v-0.2sv-0.05sd-Py,3-FS-5v-0.2sv-0.05sd-Py-ITO_TEST-3-.txt,-4.6,-0.0005481,1758000000.0
